,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,-0.1372294066764829,correct
1,1,AB,1,0,0,-0.08827745561736461,correct
2,1,AB,0,1,1,-0.03371057395931286,correct
3,1,AB,1,1,1,-0.07965604102438806,correct
4,0,AC,0,0,0,0.19027354404644486,correct
5,1,AC,1,0,0,-0.020429224324295028,correct
6,1,AC,0,1,1,0.06382534240084964,correct
7,1,AC,1,1,1,0.12253826457391767,correct
8,0,AF,0,0,0,0.07283004462858848,correct
9,1,AF,1,0,0,0.025438535692113448,correct
10,1,AF,0,1,1,-0.001496827752367456,correct
11,1,AF,1,1,1,-0.029336061043592265,correct
12,0,AH,0,0,0,0.11823816303815671,correct
13,1,AH,1,0,0,0.10862428079440613,correct
14,1,AH,0,1,1,0.012354463538770108,correct
15,1,AH,1,1,1,0.05465445234960962,correct
16,0,AI,0,0,0,-0.05800347972653914,correct
17,1,AI,1,0,0,-0.06626847074439646,correct
18,1,AI,0,1,1,-0.06765294776306098,correct
19,1,AI,1,1,1,-0.13962927046165402,correct
20,0,AJ,0,0,0,-0.011086606607438786,correct
21,1,AJ,1,0,0,0.022183035936772424,correct
22,1,AJ,0,1,1,0.04912181110988185,correct
23,1,AJ,1,1,1,-0.02361909759258734,correct
24,0,AK,0,0,0,0.13905469483188154,correct
25,1,AK,1,0,0,0.16553970883011687,correct
26,1,AK,0,1,1,0.16294888616452133,correct
27,1,AK,1,1,1,0.19651196552173708,correct
28,0,AL,0,0,0,-0.03895109499999388,correct
29,1,AL,1,0,0,0.045008913036184345,correct
30,1,AL,0,1,1,-0.0047680174468477275,correct
31,1,AL,1,1,1,-0.10648652692660852,correct
32,0,AM,0,0,0,-0.05047360374219646,correct
33,1,AM,1,0,0,-0.03202051492976121,correct
34,1,AM,0,1,1,-0.1361825499992061,correct
35,1,AM,1,1,1,-0.08644372993793678,correct
36,0,AN,0,0,0,0.006593011558967099,correct
37,1,AN,1,0,0,0.14353739916907665,correct
38,1,AN,0,1,1,0.19931923908728438,correct
39,1,AN,1,1,1,0.22435716556580088,correct
40,0,AO,0,0,0,-0.05729251103063007,correct
41,1,AO,1,0,0,-0.06793034426204796,correct
42,1,AO,0,1,1,-0.07335895689829308,correct
43,1,AO,1,1,1,-0.08057086351245267,correct
44,0,AP,0,0,0,0.08933620622026617,correct
45,1,AP,1,0,0,0.05608216406135674,correct
46,1,AP,0,1,1,0.08222853760097633,correct
47,1,AP,1,1,1,0.061941257566992494,correct
48,0,AQ,0,0,0,0.06816436300842248,correct
49,1,AQ,1,0,0,0.03270876708442868,correct
50,1,AQ,0,1,1,0.32818670501918734,correct
51,1,AQ,1,1,1,0.06231952424695013,correct
52,0,AS,0,0,0,0.07575584882311436,correct
53,1,AS,1,0,0,0.011165108267168954,correct
54,1,AS,0,1,1,0.07737143551293277,correct
55,1,AS,1,1,1,-0.08000803548226212,correct
56,0,AT,0,0,0,-0.05188309812551463,correct
57,1,AT,1,0,0,0.030963175324327533,correct
58,1,AT,0,1,1,0.02816010002338577,correct
59,1,AT,1,1,1,0.048191596937607106,correct
60,0,AV,0,0,0,0.04586521885754209,correct
61,1,AV,1,0,0,-0.06976449386620308,correct
62,1,AV,0,1,1,-0.058217150122157287,correct
63,1,AV,1,1,1,0.11358734525592462,correct
64,0,AX,0,0,0,-0.041816086106732375,correct
