,Sub,TI,TR,pupil
0,AB,0,0,0.00112101930839354
1,AB,1,0,0.00029754855263472825
2,AB,0,1,-0.009066884377757309
3,AB,1,1,0.0006236836085232176
4,AC,0,0,0.023584509802395535
5,AC,1,0,0.018463237738710527
6,AC,0,1,0.02395817075246251
7,AC,1,1,0.028470248230749198
8,AF,0,0,0.003454492010022394
9,AF,1,0,-0.008745317595406739
10,AF,0,1,-0.003212968250308786
11,AF,1,1,-0.008888400406788679
12,AH,0,0,0.004749606179166569
13,AH,1,0,0.0017314715931260314
14,AH,0,1,-0.004423115159307497
15,AH,1,1,0.0059404756159919005
16,AI,0,0,0.0004427800887079343
17,AI,1,0,-0.007714534560221649
18,AI,0,1,-0.001159288262117504
19,AI,1,1,-0.001345108208347462
20,AJ,0,0,0.007545911635301208
21,AJ,1,0,-0.0007380913422356485
22,AJ,0,1,0.019024391227128158
23,AJ,1,1,-0.013780889281087973
24,AK,0,0,-0.0010160687587001697
25,AK,1,0,0.007704514842605985
26,AK,0,1,0.0028006043465760963
27,AK,1,1,-0.007253966522257297
28,AL,0,0,-0.00496918044402257
29,AL,1,0,0.019878955272666466
30,AL,0,1,0.0059261396773944534
31,AL,1,1,-0.017275025480456806
32,AM,0,0,0.006328925555426497
33,AM,1,0,-0.011286388636577655
34,AM,0,1,-0.005320522502448397
35,AM,1,1,-0.002279779207963687
36,AN,0,0,-0.00602806933320384
37,AN,1,0,0.01614171837048475
38,AN,0,1,0.020354978723844504
39,AN,1,1,0.013642715962017568
40,AO,0,0,0.04233524325452553
41,AO,1,0,0.04617590092796469
42,AO,0,1,0.045009286531147344
43,AO,1,1,0.03486336529407268
44,AP,0,0,0.02400294643511473
45,AP,1,0,0.012119460958539725
46,AP,0,1,0.040405396313438
47,AP,1,1,0.013830590390951294
48,AQ,0,0,-0.0051694475967380814
49,AQ,1,0,0.016188508266363047
50,AQ,0,1,-0.004911199148744495
51,AQ,1,1,0.020497765015005394
52,AS,0,0,0.007776728920584687
53,AS,1,0,-0.0032395566806598204
54,AS,0,1,0.021415961506419674
55,AS,1,1,-0.025175633219786733
56,AT,0,0,0.03130256520105776
57,AT,1,0,0.04344709027399432
58,AT,0,1,0.015457236625507485
59,AT,1,1,0.011121987909177327
60,AV,0,0,-0.0004282921395106419
61,AV,1,0,-0.010852512236103663
62,AV,0,1,-0.006341209004227202
63,AV,1,1,0.0022029484419672438
64,AX,0,0,0.0046147427520300145
65,AX,1,0,-0.012982946329811111
66,AX,0,1,0.026232126310800175
67,AX,1,1,-0.00981205606396102
68,AZ,0,0,-0.005472551585362329
69,AZ,1,0,-0.01662366555833554
